animal_number;responder;location;visit_time;duration;weight;feed_intake
211863;984000010111863;2;08/04/2026 09.14;80;95500;5
211863;984000010111863;2;08/04/2026 10.23;1595;96000;1018
211863;984000010111863;2;08/04/2026 14.30;1024;97500;471
211863;984000010111863;2;08/04/2026 19.37;1303;96500;775
211863;984000010111863;2;09/04/2026 08.44;1638;95500;1013
211863;984000010111863;2;09/04/2026 10.31;53;;13
211863;984000010111863;2;09/04/2026 10.39;115;97500;50
211863;984000010111863;2;09/04/2026 10.57;675;96500;351
211863;984000010111863;2;09/04/2026 16.40;1813;99000;1133
211863;984000010111863;2;10/04/2026 07.22;1819;96000;925
211863;984000010111863;2;10/04/2026 11.51;1223;97500;781
211863;984000010111863;2;10/04/2026 16.44;1484;101000;940
211863;984000010111863;2;10/04/2026 18.18;739;99000;399
211863;984000010111863;2;10/04/2026 23.46;1360;99000;844
211863;984000010111863;2;11/04/2026 10.06;986;97500;567
211863;984000010111863;2;11/04/2026 11.36;746;99000;399
211863;984000010111863;2;11/04/2026 14.22;856;99000;480
211863;984000010111863;2;11/04/2026 18.14;967;100000;579
211863;984000010111863;2;11/04/2026 20.17;1275;101500;812
211863;984000010111863;2;12/04/2026 07.49;1069;98000;433
211863;984000010111863;2;12/04/2026 08.09;556;98000;317
211863;984000010111863;2;12/04/2026 13.39;1336;103500;793
211863;984000010111863;2;12/04/2026 16.36;1260;101000;821
211863;984000010111863;2;12/04/2026 17.21;699;101000;399
211863;984000010111863;2;13/04/2026 02.36;788;100000;226
211863;984000010111863;2;13/04/2026 05.01;1933;101500;846
211863;984000010111863;2;13/04/2026 07.14;718;100500;345
211863;984000010111863;2;13/04/2026 15.08;2022;103000;1241
211863;984000010111863;2;13/04/2026 18.10;659;101000;387
211863;984000010111863;2;14/04/2026 06.04;2084;98000;1227
211863;984000010111863;2;14/04/2026 12.02;1544;101000;806
211863;984000010111863;2;14/04/2026 15.24;1120;104500;511
211863;984000010111863;2;14/04/2026 16.47;1450;103000;878
211863;984000010111863;2;15/04/2026 04.02;1401;102500;643
211863;984000010111863;2;15/04/2026 04.27;453;102500;295
211863;984000010111863;2;15/04/2026 05.58;34;;10
211863;984000010111863;2;15/04/2026 07.09;557;102000;334
211863;984000010111863;2;15/04/2026 12.12;381;101500;198
211863;984000010111863;2;15/04/2026 12.33;465;101000;270
211863;984000010111863;2;15/04/2026 14.45;669;102500;357
211863;984000010111863;2;15/04/2026 17.46;1391;103500;810
211863;984000010111863;2;15/04/2026 18.42;751;103500;444
211863;984000010111863;2;15/04/2026 18.59;372;104000;248
211863;984000010111863;2;15/04/2026 19.30;28;;8
211863;984000010111863;2;15/04/2026 19.32;87;102500;22
211863;984000010111863;2;16/04/2026 06.31;1022;103500;420
211863;984000010111863;2;16/04/2026 09.14;1094;102500;601
211863;984000010111863;2;16/04/2026 14.15;851;104000;434
211863;984000010111863;2;16/04/2026 14.31;811;103500;406
211863;984000010111863;2;16/04/2026 17.40;1252;105500;842
211863;984000010111863;2;16/04/2026 18.50;450;105000;269
211863;984000010111863;2;17/04/2026 00.01;356;102000;92
211863;984000010111863;2;17/04/2026 06.31;1613;103500;862
212081;984000010112081;2;08/04/2026 07.38;88;105000;5
212081;984000010112081;2;08/04/2026 07.59;26;;1
212081;984000010112081;2;08/04/2026 11.54;1572;103500;1268
212081;984000010112081;2;08/04/2026 16.08;1017;105000;801
212081;984000010112081;2;08/04/2026 23.17;1313;105500;1057
