animal_number;responder;location;visit_time;duration;weight;feed_intake
211681;984000010111681;2;13/06/2026 17.31;1445;99727;1262
211681;984000010111681;2;13/06/2026 20.47;1019;102926;728
211681;984000010111681;2;14/06/2026 12.06;1283;103192;1152
211681;984000010111681;2;14/06/2026 23.38;1051;102952;791
211681;984000010111681;2;15/06/2026 08.02;1046;101496;500
211681;984000010111681;2;15/06/2026 12.08;1611;104957;1452
211681;984000010111681;2;16/06/2026 08.23;920;104707;771
211681;984000010111681;2;16/06/2026 19.54;1519;108731;1179
211681;984000010111681;2;16/06/2026 23.23;917;106144;616
211681;984000010111681;2;17/06/2026 13.08;1006;107660;842
211681;984000010111681;2;18/06/2026 04.47;1344;105271;1166
211681;984000010111681;2;18/06/2026 13.53;1679;107515;1488
211681;984000010111681;2;19/06/2026 09.37;1065;106014;838
211681;984000010111681;2;19/06/2026 17.15;1275;105714;784
211681;984000010111681;2;20/06/2026 01.59;1819;107368;1782
211681;984000010111681;2;21/06/2026 03.41;1635;105437;1268
211681;984000010111681;2;21/06/2026 13.35;1763;108775;1767
211681;984000010111681;2;22/06/2026 16.11;1818;106309;1351
211681;984000010111681;2;23/06/2026 00.02;1543;108533;1200
211681;984000010111681;2;23/06/2026 04.58;1289;110643;1131
211681;984000010111681;2;24/06/2026 02.21;1836;112059;1548
211681;984000010111681;2;24/06/2026 12.58;1547;110520;862
211681;984000010111681;2;24/06/2026 18.18;1246;112433;1124
211681;984000010111681;2;25/06/2026 15.49;1126;113854;816
211681;984000010111681;2;25/06/2026 23.16;1380;111087;1200
211681;984000010111681;2;26/06/2026 07.31;1500;114033;1650
211681;984000010111681;2;27/06/2026 06.09;1313;112637;1219
211863;984000010111863;2;13/06/2026 14.05;80;95715;5
211863;984000010111863;2;13/06/2026 15.50;1595;96214;992
211863;984000010111863;2;13/06/2026 22.08;1024;98247;471
211863;984000010111863;2;14/06/2026 05.57;1303;97273;770
211863;984000010111863;2;15/06/2026 01.58;1638;95604;998
211863;984000010111863;2;15/06/2026 04.42;53;;13
211863;984000010111863;2;15/06/2026 04.54;115;97317;52
211863;984000010111863;2;15/06/2026 05.22;675;96470;357
211863;984000010111863;2;15/06/2026 14.05;1813;99171;1120
211863;984000010111863;2;16/06/2026 12.32;1819;95948;929
211863;984000010111863;2;16/06/2026 19.23;1223;97544;798
211863;984000010111863;2;17/06/2026 02.51;1484;101158;950
211863;984000010111863;2;17/06/2026 05.14;739;99166;406
