animal_number;responder;location;visit_time;duration;weight (g);feed_intake;;;
113801;984000010113801;1;16/03/2026 16.39;306;35500;103;;;
113801;984000010113801;1;16/03/2026 16.50;353;35500;66;;;
113801;984000010113801;1;16/03/2026 18.02;289;36500;87;;;
113801;984000010113801;1;16/03/2026 18.15;327;36500;128;;;
113801;984000010113801;1;16/03/2026 20.07;257;37000;90;;;
113801;984000010113801;1;16/03/2026 21.03;265;36500;100;;;
113801;984000010113801;1;16/03/2026 21.40;152;36500;38;;;
113801;984000010113801;1;17/03/2026 07.45;236;35500;65;;;
113801;984000010113801;1;17/03/2026 07.59;21;;2;;;
113801;984000010113801;1;17/03/2026 09.45;217;35500;57;;;
113801;984000010113801;1;17/03/2026 10.23;153;35000;49;;;
113801;984000010113801;1;17/03/2026 12.09;125;35500;13;;;
113801;984000010113801;1;17/03/2026 12.12;63;35500;38;;;
113801;984000010113801;1;17/03/2026 15.09;466;35500;136;;;
113801;984000010113801;1;17/03/2026 15.23;56;;1;;;
113801;984000010113801;1;17/03/2026 18.36;1235;35500;495;;;
113801;984000010113801;1;18/03/2026 01.25;1047;37000;299;;;
113801;984000010113801;1;18/03/2026 07.35;174;36500;70;;;
113801;984000010113801;1;18/03/2026 09.20;441;36000;115;;;
113801;984000010113801;1;18/03/2026 13.25;1072;36500;315;;;
113801;984000010113801;1;18/03/2026 19.41;717;37000;318;;;
113801;984000010113801;1;18/03/2026 20.05;20;;208;;;
113801;984000010113801;1;19/03/2026 02.08;1113;37500;321;;;
113801;984000010113801;1;19/03/2026 07.37;33;;11;;;
113801;984000010113801;1;19/03/2026 09.17;1168;38500;301;;;
113801;984000010113801;1;19/03/2026 13.22;98;38500;36;;;
113801;984000010113801;1;19/03/2026 13.47;530;38500;82;;;
113801;984000010113801;1;19/03/2026 15.01;1018;39000;247;;;
113801;984000010113801;1;19/03/2026 16.38;282;39500;71;;;
113801;984000010113801;1;20/03/2026 00.04;1665;39000;466;;;
113801;984000010113801;1;20/03/2026 05.26;430;40000;112;;;
113801;984000010113801;1;20/03/2026 08.36;993;39000;288;;;
113801;984000010113801;1;20/03/2026 12.06;255;39000;44;;;
113801;984000010113801;1;20/03/2026 15.25;1406;39500;435;;;
113801;984000010113801;1;20/03/2026 20.31;1279;40000;398;;;
113801;984000010113801;1;21/03/2026 01.34;867;41000;240;;;
113801;984000010113801;1;21/03/2026 10.05;1585;40500;515;;;
113801;984000010113801;1;21/03/2026 16.40;1328;41000;503;;;
113801;984000010113801;1;21/03/2026 22.43;1256;41500;401;;;
113801;984000010113801;1;22/03/2026 05.38;1110;42000;321;;;
113801;984000010113801;1;22/03/2026 11.08;1172;41500;311;;;
113801;984000010113801;1;22/03/2026 14.33;796;43000;240;;;
113801;984000010113801;1;22/03/2026 17.31;1114;46000;360;;;
113801;984000010113801;1;22/03/2026 22.37;804;43000;259;;;
113801;984000010113801;1;23/03/2026 05.10;1154;43000;232;;;
113801;984000010113801;1;23/03/2026 08.44;823;42000;197;;;
113801;984000010113801;1;23/03/2026 09.00;461;43000;166;;;
113801;984000010113801;1;23/03/2026 12.57;1004;43000;387;;;
113801;984000010113801;1;23/03/2026 15.46;281;44000;117;;;
113801;984000010113801;1;23/03/2026 16.27;863;44500;257;;;
113801;984000010113801;1;24/03/2026 01.44;1704;44000;591;;;
113801;984000010113801;1;24/03/2026 07.35;29;;13;;;
113801;984000010113801;1;24/03/2026 07.49;145;44500;51;;;
113801;984000010113801;1;24/03/2026 09.00;619;44500;211;;;
113801;984000010113801;1;24/03/2026 14.20;1704;44500;554;;;
113801;984000010113801;1;24/03/2026 18.14;509;45500;175;;;
113801;984000010113801;1;24/03/2026 23.54;1014;45500;364;;;
113801;984000010113801;1;25/03/2026 07.03;471;45500;165;;;
113801;984000010113801;1;25/03/2026 07.20;351;45500;126;;;
113801;984000010113801;1;25/03/2026 09.21;382;45500;67;;;
113801;984000010113801;1;25/03/2026 12.08;940;45000;283;;;
113801;984000010113801;1;25/03/2026 15.03;372;45000;10;;;
113801;984000010113801;1;25/03/2026 16.47;951;44500;200;;;
113801;984000010113801;1;25/03/2026 17.05;594;45500;270;;;
113801;984000010113801;1;25/03/2026 22.12;212;45500;28;;;
113801;984000010113801;1;26/03/2026 01.39;947;46500;225;;;
