animal_number;responder;location;visit_time;duration;weight (g);feed_intake;Unnamed: 7;Unnamed: 8;Unnamed: 9
110813;984000010110813;1;21/06/2026 03.17;1404;31525;196;;;
110813;984000010110813;1;21/06/2026 03.40;118;50452;22;;;
110813;984000010110813;1;21/06/2026 06.29;85;32184;13;;;
110813;984000010110813;1;21/06/2026 06.43;22;;6;;;
110813;984000010110813;1;21/06/2026 07.11;467;32392;260;;;
110813;984000010110813;1;21/06/2026 08.23;210;33237;65;;;
110813;984000010110813;1;21/06/2026 10.54;1349;35483;289;;;
110813;984000010110813;1;21/06/2026 15.25;1150;34048;303;;;
110813;984000010110813;1;21/06/2026 22.18;245;34467;63;;;
110813;984000010110813;1;22/06/2026 00.06;260;34979;57;;;
110813;984000010110813;1;22/06/2026 01.50;285;35409;62;;;
110813;984000010110813;1;22/06/2026 01.57;291;35560;62;;;
110813;984000010110813;1;22/06/2026 06.14;1020;34988;273;;;
110813;984000010110813;1;22/06/2026 08.08;141;54343;4;;;
110813;984000010110813;1;22/06/2026 08.11;22;;14;;;
110813;984000010110813;1;22/06/2026 09.41;1383;53106;329;;;
110813;984000010110813;1;22/06/2026 16.16;1636;35930;403;;;
110813;984000010110813;1;23/06/2026 00.37;851;35973;124;;;
110813;984000010110813;1;23/06/2026 04.46;1361;36029;242;;;
110813;984000010110813;1;23/06/2026 10.12;1316;52883;379;;;
110813;984000010110813;1;23/06/2026 21.10;1441;36554;352;;;
110813;984000010110813;1;23/06/2026 22.56;196;37049;42;;;
110813;984000010110813;1;24/06/2026 02.46;1060;36614;302;;;
110813;984000010110813;1;24/06/2026 04.10;295;37202;65;;;
110813;984000010110813;1;24/06/2026 06.59;1331;37622;302;;;
110813;984000010110813;1;24/06/2026 13.50;597;37648;167;;;
110813;984000010110813;1;24/06/2026 16.41;404;37029;96;;;
110813;984000010110813;1;24/06/2026 19.30;314;37633;69;;;
110813;984000010110813;1;24/06/2026 21.22;165;37496;26;;;
110813;984000010110813;1;24/06/2026 21.27;101;37079;23;;;
110813;984000010110813;1;25/06/2026 00.34;1348;36387;355;;;
110813;984000010110813;1;25/06/2026 00.57;39;;5;;;
110813;984000010110813;1;25/06/2026 07.31;995;38556;215;;;
110813;984000010110813;1;25/06/2026 10.43;1354;37970;376;;;
110813;984000010110813;1;25/06/2026 17.41;784;37504;214;;;
110813;984000010110813;1;25/06/2026 22.47;1628;38563;319;;;
110813;984000010110813;1;25/06/2026 23.15;123;38369;23;;;
110813;984000010110813;1;25/06/2026 23.54;253;38251;58;;;
